system:index,gain_ha,gain_m2,.geo
00000000000000000028,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.9620008506784,18.86424928293819],[72.9620008506784,18.86449900696689],[72.96150147898877,18.864499006166188],[72.96150147898877,18.86424928263194],[72.9620008506784,18.86424928293819]]]}"
00000000000000000029,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.96125170264207,18.865751999984244],[72.96125170264207,18.86449899669854],[72.96150147898877,18.864499006166188],[72.96150147898877,18.866251460061484],[72.96125170264207,18.866251448858183],[72.96125170264207,18.86650117355975],[72.96100201613898,18.866501170146876],[72.96100201613898,18.865751997313087],[72.96125170264207,18.865751999984244]]]}"
0000000000000000002a,0.0070133194268918505,70.1331942689185,"{""type"":""Polygon"",""coordinates"":[[[72.99074871581124,18.86575198937192],[72.99074871581124,18.86600174290334],[72.99049897041405,18.86600169253363],[72.99049897041405,18.86575202694335],[72.99074871581124,18.86575198937192]]]}"
0000000000000000002b,0.0058690319554946,58.690319554946,"{""type"":""Polygon"",""coordinates"":[[[72.99099837084765,18.86600169673341],[72.99099837084765,18.866251450687955],[72.99074871581124,18.86625140891669],[72.99074871581124,18.86600174290334],[72.99099837084765,18.86600169673341]]]}"
0000000000000000002c,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.99099837084765,18.866501117124283],[72.99099837084765,18.86675087143149],[72.99074871581124,18.86675082916668],[72.99074871581124,18.866501162800795],[72.99099837084765,18.866501117124283]]]}"
0000000000000000002d,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.96125170264207,18.867250261038222],[72.96125170264207,18.867000535807623],[72.96150147898877,18.86700054775282],[72.96150147898877,18.8677497247156],[72.96125170264207,18.867749712028427],[72.96125170264207,18.86975181960885],[72.96100201613898,18.869751812977736],[72.96100201613898,18.867250256883725],[72.96125170264207,18.867250261038222]]]}"
0000000000000000002e,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.96150147898877,18.869751834278908],[72.96150147898877,18.87000156169877],[72.96125170264206,18.870001546781385],[72.96125170264207,18.86975181960885],[72.96150147898877,18.869751834278908]]]}"
0000000000000000002f,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.99200167329477,18.87100041129658],[72.99200167329477,18.87125008207381],[72.99175201932326,18.87125012471441],[72.99175201932326,18.871000366487863],[72.99200167329477,18.87100041129658]]]}"
00000000000000000030,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.93674900477991,18.87875033373996],[72.93674900477991,18.879000042974564],[72.93649929251237,18.878999986723432],[72.93649929251237,18.878750277736458],[72.93674900477991,18.87875033373996]]]}"
00000000000000000031,0.016461355363434436,164.61355363434436,"{""type"":""Polygon"",""coordinates"":[[[72.9827490732759,18.88125182745965],[72.9827490732759,18.881501584001096],[72.98175023635721,18.88150154588913],[72.98175023635721,18.881251878030472],[72.9827490732759,18.88125182745965]]]}"
00000000000000000032,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.9829987367948,18.881501566352565],[72.9829987367948,18.881751235620786],[72.9827490732759,18.881751253022536],[72.9827490732759,18.881501584001096],[72.9829987367948,18.881501566352565]]]}"
00000000000000000033,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.9829987367948,18.882250662378986],[72.9829987367948,18.882500419869068],[72.9827490732759,18.88250043653031],[72.9827490732759,18.882250679287093],[72.9829987367948,18.882250662378986]]]}"
00000000000000000034,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.95075058571013,18.891998321777738],[72.95075058571013,18.891748589541876],[72.95100028300958,18.891748547199445],[72.95100028300958,18.89300159572665],[72.95050079803698,18.89300158136372],[72.95050079803698,18.89250220384343],[72.95025110021211,18.892502156927137],[72.95025110021211,18.89199830857722],[72.95075058571013,18.891998321777738]]]}"
00000000000000000035,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.94575189871286,18.892751853079897],[72.94575189871286,18.893001581066],[72.94550219589553,18.893001613493215],[72.94550219589553,18.89275188575452],[72.94575189871286,18.892751853079897]]]}"
00000000000000000036,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[72.94650100559052,18.893501026974896],[72.94650100559052,18.89375075622781],[72.94625130356036,18.893750701465194],[72.94625130356036,18.89350097245974],[72.94650100559052,18.893501026974896]]]}"
