system:index,water_area_ha,water_area_m2,year,.geo
0_00000000000000000010,1.3076915982743804,13076.915982743805,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.1784990889023,18.840000666547006],[73.1784990889023,18.84025041093056],[73.17874881063429,18.8402504060277],[73.17874881063429,18.840999553221973],[73.17899853208999,18.840999548640028],[73.17899853208999,18.84124929422126],[73.1792482532694,18.841249289472206],[73.1792482532694,18.841998352505218],[73.17874881063429,18.841998360128272],[73.17874881063429,18.841748702012392],[73.1784990889023,18.841748705451135],[73.1784990889023,18.84124921473287],[73.17824945691645,18.841249226567125],[73.17824945691645,18.840000679600884],[73.1784990889023,18.840000666547006]]]}"
0_00000000000000000011,0.14814990478515627,1481.4990478515626,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.09550190418203,18.84099954765868],[73.09550190418203,18.841249299167277],[73.0949980452727,18.841249253309165],[73.0949980452727,18.840999590019823],[73.09550190418203,18.84099954765868]]]}"
0_00000000000000000012,0.07161983286240522,716.1983286240522,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.09575162687463,18.841249248116206],[73.09575162687463,18.84149900004767],[73.09550190418203,18.841498963128917],[73.09550190418203,18.841249299167277],[73.09575162687463,18.841249248116206]]]}"
0_00000000000000000013,0.21884594898897053,2188.4594898897053,2022.0,"{""type"":""Polygon"",""coordinates"":[[[73.09625098139098,18.841498976561773],[73.09625098139098,18.84224805944307],[73.09600125924098,18.842248110335944],[73.09600125924098,18.841498940465584],[73.09625098139098,18.841498976561773]]]}"
0_00000000000000000014,0.0,0.0,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.94300064760031,18.845249117400456],[72.94300064760031,18.845498809132394],[72.94275094189304,18.845498796417207],[72.94275094189304,18.845249104932826],[72.94300064760031,18.845249117400456]]]}"
0_00000000000000000015,1.0707916283581302,10707.916283581302,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.97924862054072,18.845998236014772],[72.97924862054072,18.84825000478869],[72.97874919519569,18.848250084614463],[72.97874919519569,18.84599823260983],[72.97924862054072,18.845998236014772]]]}"
0_00000000000000000016,0.0,0.0,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.96100201613898,18.852000170745427],[72.96100201613898,18.85224988511008],[72.960498136981,18.852249833742135],[72.960498136981,18.85200011987652],[72.96100201613898,18.852000170745427]]]}"
0_00000000000000000017,0.0,0.0,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.96575097045415,18.852499531946325],[72.96575097045415,18.852749251367495],[72.96500183428735,18.852749294561285],[72.96500183428735,18.852499575881758],[72.96575097045415,18.852499531946325]]]}"
0_00000000000000000018,0.0,0.0,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.96600065194757,18.852749321014155],[72.96600065194757,18.852998953177167],[72.96575097045415,18.852998970965817],[72.96575097045415,18.852749251367495],[72.96600065194757,18.852749321014155]]]}"
0_00000000000000000019,0.0,0.0,2022.0,"{""type"":""Polygon"",""coordinates"":[[[72.96724923567061,18.853248683880835],[72.96724923567061,18.853498405316685],[72.96699946539044,18.853498416228664],[72.96699946539044,18.85324869504006],[72.96724923567061,18.853248683880835]]]}"
